,date,90day_bull_prop_rollingz_60,cumulative_z,last
0,2017-03-13,1.165597729328302,0.0,139.2
1,2017-03-14,1.1316457232232566,0.6785988411155951,138.99
2,2017-03-15,1.1250004297918328,3.227714534600114,140.46
3,2017-03-16,1.0878748327000578,0.32242001430421874,140.66
4,2017-03-17,1.065403060170845,0.0,140.82
5,2017-03-20,1.0340750628147615,1.8216541515364015,140.97
6,2017-03-21,1.0155645014788282,0.0,140.17
7,2017-03-22,1.000679027006857,0.6237458680766401,140.61
8,2017-04-12,0.6775488117784372,0.5246712926595927,141.79
9,2017-04-13,0.6818099823078525,0.5569433946990829,141.05
10,2017-04-14,0.6834635698855562,0.0052505869636195746,141.05
11,2017-04-17,0.6837395183252214,0.24902027997313736,141.8
12,2017-04-18,0.6679308972893749,0.0,141.2
13,2017-04-19,0.6753591391493258,0.19998844671293214,140.68
14,2017-04-20,0.6903410478931745,0.0,142.44
15,2017-04-21,0.8415267125311846,0.0,142.26
16,2017-04-24,1.0895028113312089,0.0,143.62
17,2017-04-25,1.0667822877776858,0.0,144.77
18,2017-04-26,1.1539543862508412,0.6828887945025954,143.65
19,2017-04-27,1.2841042989301827,0.26057707296252575,143.79
20,2017-04-28,1.4421833787409142,2.042332323116807,144.14
21,2017-05-01,1.5656240819340288,2.792605714366492,146.6
22,2017-05-02,1.5408835937445535,4.462860347685502,147.51
23,2017-05-03,1.529180915105947,3.216427486462948,147.06
24,2017-05-04,1.4648104276609104,1.2120072875783283,146.53
25,2017-05-05,1.534419112245867,0.06869193576284993,148.95
26,2017-05-08,2.0217938273261753,2.084473114264399,153.0
27,2017-05-09,2.088384957841372,1.83277819835123,153.96
28,2017-05-10,1.9803096343418407,1.9046084932357,153.26
29,2017-05-11,1.996499250079554,1.0755916838415733,153.95
30,2017-05-12,2.211399544341178,4.217584572018003,156.1
31,2017-05-15,2.109584244622435,0.7949786338593674,155.7
32,2017-05-16,1.6104341328401142,0.0,155.47
33,2017-05-17,1.4897739694893022,0.0,150.25
34,2017-05-18,1.4411217624032755,0.0,152.54
35,2017-05-19,1.2864001169887003,0.0,152.96
